timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1495014829318751,-54,15,-3,36,-5,0,-29,-16
1495014829318751,20,23,11,-68,-3,2,26,-10
1495014829324896,66,-50,-37,34,-16,-21,-15,4
1495014829324896,-82,37,13,-30,-8,10,18,77
1495014829341122,8,-56,8,54,26,11,0,44
1495014829341122,-50,14,9,-28,-16,-35,-27,-69
1495014829342933,-9,-86,4,19,-17,-14,11,17
1495014829342933,2,61,3,14,-2,-3,-18,-41
1495014829363180,29,-35,-8,-40,-8,11,19,44
1495014829363180,-14,35,3,23,20,17,22,51
1495014829364874,27,9,-11,3,13,25,-8,10
1495014829364874,22,-9,-12,-81,-14,-23,-8,-62
1495014829377246,-1,-13,20,82,11,-1,1,55
1495014829377246,11,2,-4,-73,7,5,-12,-3
1495014829385012,-13,17,-23,82,-14,-5,5,-15
1495014829385012,88,76,5,15,20,17,-2,-39
1495014829401301,-90,-75,2,-81,-42,-20,-10,-41
1495014829401301,0,-128,15,-48,15,-17,-7,67
1495014829402977,-11,99,-12,46,-27,-27,-10,-6
1495014829402977,18,-24,-3,-26,14,8,18,75
1495014829423379,-7,65,-13,18,6,1,-20,-103
1495014829423379,45,71,-19,23,-7,14,9,15
1495014829425033,-44,-26,0,-16,-6,-10,-5,30
1495014829425033,26,39,28,34,-5,6,15,64
1495014829446234,-27,-33,-18,-68,23,12,-8,35
1495014829446234,-67,-114,10,43,-27,-12,-35,75
1495014829447096,99,63,13,-12,26,-2,-24,-128
1495014829447096,-122,-128,19,20,-38,-14,21,68
1495014829459382,37,98,-20,-57,-28,-21,2,84
1495014829459382,32,7,-13,59,39,7,25,37
1495014829468152,3,63,-5,48,13,24,7,63
1495014829468152,90,-90,4,38,-11,6,-38,85
1495014829483387,-57,-9,7,-24,27,7,8,-105
1495014829483387,-4,-20,1,17,-15,13,14,84
1495014829485197,14,-28,2,-7,-13,-13,17,55
1495014829485197,-10,54,-1,3,-9,-23,-23,-43
1495014829505435,46,35,1,5,5,8,1,35
1495014829505435,-1,-14,0,-1,0,0,6,-57
1495014829507263,-32,-31,2,-14,-15,5,23,25
1495014829507263,49,1,-30,13,42,29,10,-6
1495014829519342,-62,-30,18,20,3,12,17,-29
1495014829519342,51,56,14,-20,-2,-27,-31,-34
